,titre_film,utilisateur_note,genres_liste,duree,id_film,nbre_utilisateur_note,date_sortie,date_ext
7319,Silent Terror,4.6,Horror,,tt7156926,13,(2018),"April 16, 2018"
7320,The Girl on the Beach,,Thriller,,tt7180088,,(2018),"January 1, 2018"
7321,The Middle of Somewhere,7.1,Drama,,tt6776622,9,(2018),"January 1, 2018"
7322,Heinz,6.4,Animation,,tt10059624,51,(2018),"April 18, 2019"
7323,Tsukigime Otoko Tomodachi,5.5,Drama  Romance,78,tt10505558,43,(2018),"April 18, 2019"
7324,Yamikin Dogs 8,,Drama,84,tt7787892,,(2018),"April 14, 2018"
7325,Gretskiy Oreshek,4.4,,,tt10467318,16,(2018),"November 8, 2018"
7326,Genadeloos (acimasizca),6.9,Action  Thriller,90,tt7607518,11,(2018),"March 15, 2018"
7327,Keni,6.7,Drama,133,tt8033704,35,(2018),"February 23, 2018"
7328,Lost Division,,Drama  History  War,75,tt2777020,,(2018),"November 2, 2018"
7329,Frustrated,,Comedy,70,tt8226476,,(2018),"November 2, 2018"
7330,Daily Grind,,Comedy,45,tt2550910,,(2018),"May 1, 2018"
7331,Antep Fistigi,5.3,Comedy,104,tt8262118,39,(2018),"May 1, 2018"
7332,Jake Muller Adventures,,Action,98,tt12677492,,(2018),"April 5, 2018"
7333,Ruleta Rusa,5.8,Crime  Drama  Romance,83,tt8884004,21,(2018),"December 6, 2018"
7334,Shadow Lands,,Drama  Music,134,tt8880064,,(2018),"August 11, 2018"
7335,F5 Teraphobia,5.1,Horror,90,tt7533160,52,(2018),"August 11, 2018"
7336,Pilvede all. Neljas õde,4.4,Drama,115,tt7897560,55,(2018),"August 11, 2018"
7337,Daphnis & Chloé,,Drama  Music,,tt11348982,,(2018),"April 28, 2018"
7338,El Cartel Del Diablo,,Action,,tt9292378,,(2018),"April 1, 2018"
7339,Mujeres Cabronas,,Action,90,tt9389562,,(2018),"April 1, 2018"
7340,Das Höllentor von Zürich,7.0,Comedy  Drama  Horror,93,tt13759906,5,(2018),"January 20, 2018"
7341,Finale,,Thriller,,tt9060062,,(II) (2018),"November 16, 2018"
7342,We Can Do Anything,8.1,Drama,84,tt7719620,10,(2018),"November 16, 2018"
7343,Perras de Barrio 4,,Action,90,tt15596292,,(2018),"September 6, 2018"
7344,Toot too ku chart,3.2,Comedy,127,tt9214660,28,(2018),"September 6, 2018"
7345,Blijf Van Mijn Kind,3.5,Thriller,90,tt7831208,9,(2018),"February 18, 2018"
7346,Susanghan jinryosil: Eomma chinguui teukbyeolhan chiryo,,Drama,63,tt8669092,,(2018),"July 20, 2018"
7347,Arthur VS Aliens,,Drama  Fantasy  Sci-Fi,,tt9041704,,(2018),"August 3, 2018"
7348,La Divina Commedia Opera Musical,8.3,Comedy  Fantasy  Musical,,tt7879986,16,(2018),"August 3, 2018"
7349,Lovers Point,,Horror,,tt17005546,,,"October 19, 2018"
7350,King of Bidar,,Action  Romance,,tt9389588,,(2018),"November 23, 2018"
7351,Bodha,5.8,Comedy  Drama,,tt9172760,20,(2018),"July 20, 2018"
7352,Sunshine of Your Love: A Concert for Jack Bruce,5.8,Music,120,tt8232576,8,(2018),"July 20, 2018"
7353,Big Brother,7.1,Action,83,tt7657748,20,(2018),"January 4, 2018"
7354,Premak Basaat,8.9,Romance,,tt10039472,10,(2018),"November 6, 2018"
7355,Wraith of the Umbra and Eidolon,,Adventure  Fantasy  Sci-Fi,154,tt5824110,,(2018),"November 11, 2018"
7356,Paikutty,,Drama,125,tt8489798,,(2018),"May 25, 2018"
7357,God svini,6.0,Comedy,71,tt9862466,38,(2018),"December 27, 2018"
7358,Private Peaceful,,War,95,tt9359474,,(2018),"November 15, 2018"
7359,Emma,4.6,Drama,77,tt8110474,24,(II) (2018),"February 8, 2018"
7360,Monster Olympics,,Comedy,,tt8370212,,(2018),"September 15, 2018"
7361,Mr. Jholay,7.6,Drama  Romance,,tt7305634,64,(2018),"January 12, 2018"
7362,The Movie Drive Head Tomica Hyper Rescue,6.4,Animation  Action  Sci-Fi,58,tt9072932,8,(2018),"August 24, 2018"
7363,Kaira,6.7,Romance,,tt8674396,10,(2018),"August 3, 2018"
7364,Even: kimi ni okuru uta,5.5,Drama,87,tt7807364,7,(2018),"June 2, 2018"
7365,Wolfe,6.0,Drama,95,tt6130920,31,(2018),"October 26, 2018"
7366,The House on Cold Hill,,Horror,,tt10124232,,(2018),"May 5, 2018"
7367,Broken Doll,2.9,Thriller,84,tt8510674,64,(2018),"May 5, 2018"
7368,Müsaadenizle Büyükler,5.3,Adventure  Comedy  Family,100,tt9472074,12,(2018),"December 28, 2018"
7369,We Don't Live Here Anymore,5.0,Drama,110,tt7493274,33,(2018),"October 14, 2018"
7370,I Am Jacob,,Sci-Fi,90,tt9129654,,(2018),"December 15, 2018"
7371,Les amoureux,7.4,Drama,46,tt8779730,10,(2018),"June 8, 2018"
7372,Marshal Law: Reconciliation,8.4,Western,207,tt8908288,40,(2018),"September 28, 2018"
7373,Yogi Duniya,,Drama,146,tt13973518,,(2018),"March 23, 2018"
7374,The last day before June,5.9,Drama,75,tt8101840,9,(2018),"March 23, 2018"
7375,Zoku mibôjin geshuku? Ero sugichatte gomen nasai,,,,tt9524764,,(2018),"April 13, 2018"
7376,Banditi u potrazi za mamom,6.6,Drama,70,tt7865428,55,(2018),"November 8, 2018"
7377,Path of Egress,7.5,Thriller,110,tt6415394,8,(2018),"November 22, 2018"
7378,Koottali,,Drama,140,tt8145046,,(2018),"August 10, 2018"
7379,Kök Börü: Game of the Tough,7.1,Sport,110,tt9095514,9,(2018),"September 20, 2018"
7380,If This Is My Story,,Drama,75,tt12200156,,(2018),"December 2, 2018"
7381,Churikatte,7.7,Action  Crime  Thriller,,tt8001954,19,(2018),"December 2, 2018"
7382,"2054: A Princess, A Soldier, and A Tailor",,Action,,tt7382590,,(2018),"April 12, 2018"
7383,Jazmin,7.3,Thriller,,tt6815966,13,(2018),"March 14, 2018"
7384,Fishermen Vs. Bikers,,Action  Comedy,15,tt15115948,,(2018),"September 17, 2018"
7385,Aladdin Saha Puduma Pahana,3.2,Drama  Family  Fantasy,119,tt7925494,6,(2018),"July 26, 2018"
7386,Benyamin Biang Kerok,3.0,Comedy,95,tt8065772,252,(2018),"March 1, 2018"
7387,Raja,,Drama,,tt8426832,,(I) (2018),"May 25, 2018"
7388,Tobuo Basanta,,Drama,,tt8852390,,(2018),"June 1, 2018"
7389,A Roda da Vida,8.6,Drama,90,tt12880790,7,(2018),"September 23, 2018"
7390,The Return of the Storks,8.2,Drama  Thriller,67,tt9212350,13,(2018),"December 20, 2018"
7391,The Auction,7.8,Action  Adventure  Comedy,,tt6222288,10,(I) (2018),"April 7, 2018"
7392,Rudane,,Biography  Drama,138,tt7659822,,(2018),"October 11, 2018"
7393,Phantom Flyer,,Horror,,tt8442592,,(2018),"October 31, 2018"
7394,All Souls Night,5.5,Horror,91,tt9209288,14,(2018),"October 31, 2018"
7395,Wrong Initiation,,Action,,tt7728166,,(2018),"February 15, 2018"
7396,La Muerte de un Fotógrafo de Modas,,Drama,,tt8982676,,(2018),"September 12, 2018"
7397,Season of Mysteries,,Family,,tt7151810,,(2018),"June 22, 2018"
7398,The Broken Bridge,,Drama,100,tt9792940,,(2018),"December 13, 2018"
7399,Nature Cat: The Return of Bad Dog Bart,6.5,Animation,56,tt10376478,17,(2018),"August 6, 2018"
7400,Hamari paltan,,Drama,100,tt8333954,,(2018),"November 11, 2018"
7401,Life Line,,Action,60,tt8421168,,(II) (2018),"October 3, 2018"
7402,Ghost Boyfriend 3,5.0,Romance,76,tt14539502,6,(2018),"March 14, 2018"
7403,Curse of the Hag,3.4,Horror,73,tt9865492,6,(2018),"July 17, 2018"
7404,Deflower,,,,tt5700592,,(2018),"April 4, 2018"
7405,Emperor of Hell,6.4,Drama,,tt8000708,32,(2018),"April 4, 2018"
